latitude,longitude,zip_code,total_volume,trees,aggrVolume
40.7244404,-73.97209619,10009,10,1924,38
40.72673516,-73.97162088,10009,26,1924,119
40.75950968,-74.00678437,10199,2,0,8
40.76099379,-74.00273577,10018,4,485,10
40.72261557,-73.97252929,10009,5,1924,20
40.71489124,-73.97500296,10002,0,2265,0
40.71593415,-73.97455282,10002,16,2265,127
40.71251973,-73.9761126,10002,8,2265,105
40.71053035,-73.9781062,11205,0,2640,31
40.71368999,-73.97556712,10002,2,2265,26
40.76826294,-73.94910071,10044,7,0,56
40.76763865,-73.94956097,10044,9,0,71
40.76949138,-73.94806903,10044,8,0,57
40.76889439,-73.94862874,10044,8,0,63
40.76702246,-73.95007372,10044,119,0,455
40.76643216,-73.9506388,10044,9,0,74
40.76572797,-73.94495229,10044,0,0,0
40.76872833,-73.94226016,10044,0,0,0
40.75167717,-73.96476622,10017,0,848,0
40.75038697,-73.9658996,10017,2,848,22
40.75460845,-73.96210172,10022,2,1627,29
40.75505642,-73.96146194,10022,2,1627,16
40.75221454,-73.96424881,10017,63,848,293
40.71853299,-73.97362151,10009,7,1924,73
40.7188806,-73.97348465,10009,25,1924,220
40.75672464,-74.00585103,10199,1,0,10
40.72298397,-74.0122537,10013,9,1202,45
40.70493855,-74.00439416,10005,4,144,35
40.70890451,-73.99633654,10038,1,374,17
40.70914426,-73.98830616,11201,12,4514,106
40.72481459,-74.0118813,10013,69,1202,244
40.73934698,-73.97263123,10016,0,1872,14
40.73702824,-73.97259297,10016,18,1872,95
40.70770491,-73.99952497,10038,1,374,47
40.75945668,-73.95748531,10065,3,1911,24
40.74002138,-73.97233273,10016,3,1872,31
40.70814368,-73.99885719,10038,4,374,73
40.71728827,-73.97406873,10002,5,2265,54
40.7213175,-73.97283562,10009,1,1924,31
40.70924595,-73.99387873,10038,7,374,41
40.72718889,-74.0114895,10013,1,1202,48
40.75695637,-73.95985984,10022,1,1627,11
40.76103608,-73.95572294,10065,47,1911,217
40.73310473,-73.97367226,10009,6,1924,83
40.710281,-73.98044251,10002,2,2265,25
40.73517122,-73.97439823,10016,2,1872,16
40.7096476,-73.98302202,11201,14,4514,103
40.7352946,-73.9726853,10016,11,1872,65
40.73145807,-73.97347539,10009,18,1924,82
40.74728405,-73.96831486,10017,13,848,88
40.73430571,-73.97419008,10009,4,1924,35
40.74803477,-73.96785445,10017,1,848,1
